item_category_code,delivery_to_return_days,return_reason_code,return_reason_is_damaged,customer_message_length_bucket,prior_returns_count,order_value_band,order_value_band_high,evidence_count,hours_to_first_customer_evidence,merchant_document_count,target
99,20,99,0,4,2,1,0,0,0.0,0,0
2,8,2,0,4,2,4,1,0,0.0,0,1
2,18,5,0,4,4,2,0,2,36.0,1,1
4,26,1,1,2,2,1,0,2,26.0,0,0
2,1,99,0,4,0,4,1,2,59.0,1,1
99,22,1,1,3,0,4,1,2,41.0,2,0
99,14,2,0,4,1,1,0,2,31.0,2,0
2,30,1,1,4,2,3,0,0,0.0,2,1
99,22,4,0,4,4,1,0,0,0.0,0,1
99,21,4,0,4,1,3,0,3,14.0,1,0
4,3,2,0,4,3,2,0,3,49.0,0,1
99,28,2,0,2,5,1,0,3,25.0,0,1
4,27,1,1,4,4,1,0,1,58.0,0,1
99,10,2,0,4,3,3,0,1,62.0,0,1
99,23,5,0,3,1,2,0,1,58.0,2,0
99,13,99,0,4,2,3,0,1,20.0,0,0
99,25,5,0,4,2,4,1,2,63.0,0,0
99,4,99,0,4,0,4,1,0,0.0,2,0
99,3,2,0,4,2,2,0,1,47.0,1,0
99,12,2,0,4,0,1,0,3,21.0,0,0
4,25,1,1,4,3,3,0,2,66.0,0,1
99,11,4,0,4,1,2,0,0,0.0,1,0
99,26,1,1,4,1,1,0,1,23.0,0,0
99,23,99,0,4,4,2,0,2,23.0,0,1
99,9,5,0,4,4,1,0,0,0.0,0,0
4,25,1,1,4,4,1,0,2,37.0,2,1
99,29,99,0,4,3,3,0,1,35.0,0,1
99,5,5,0,4,0,1,0,0,0.0,1,0
2,11,4,0,4,0,1,0,2,49.0,2,0
99,15,2,0,4,5,1,0,0,0.0,2,0
2,30,4,0,3,1,3,0,1,24.0,0,1
99,26,4,0,2,4,1,0,0,0.0,0,0
99,20,1,1,4,4,2,0,1,57.0,0,1
99,8,4,0,4,0,1,0,3,64.0,2,0
99,3,2,0,4,0,2,0,1,70.0,2,0
4,18,5,0,4,5,1,0,3,22.0,0,1
99,30,4,0,3,3,4,1,2,44.0,1,1
99,25,99,0,4,4,2,0,3,72.0,0,1
2,29,4,0,4,5,1,0,1,55.0,2,1
99,5,1,1,3,4,2,0,2,56.0,0,1
2,13,99,0,4,1,3,0,3,6.0,0,1
2,19,4,0,4,5,1,0,0,0.0,2,0
2,0,4,0,4,4,3,0,1,6.0,1,1
99,5,4,0,4,5,1,0,0,0.0,2,0
99,18,2,0,4,3,3,0,1,57.0,0,1
2,18,99,0,4,3,3,0,2,32.0,2,1
99,19,4,0,4,3,4,1,1,50.0,0,1
99,9,4,0,4,4,2,0,3,40.0,0,1
99,16,2,0,4,1,2,0,3,51.0,0,0
99,17,4,0,4,2,1,0,3,35.0,1,0
99,5,5,0,4,0,1,0,0,0.0,2,0
